semmcdl,oid_,ver,pr,bmp,semmcdr,bpt,fcc,length,ept,emp,regmgfv17_,countyl,fename2,fename3,fename,SHAPE__Length,objectid,countyr
5010,5801796008813,17a,4302479,0.856,5010,58017960,B11,576.52921836,58017669,1.215,315742,115,CSX, ,CSX Transportation,1892.39921303887,16,115
5035,5801812905871,17a,4302481,0.728,5035,58018129,B11,1263.95317723,58017554,1.514,314355,115,NS, ,Norfolk Southern Railway,4148.80175635144,17,115
5010,5801767511829,17a,4302478,1.35,5010,58017675,B11,240.64210413,58017565,1.5,314450,115,AA, ,Ann Arbor Railroad,789.88670848915,18,115
5010,5801766906940,17a,4302479,1.215,5010,58017669,B11,219.53783363,58017526,1.351,315037,115,CSX, ,CSX Transportation,720.61067063475,19,115
5035,5801810809318,17a,4302482,0.588,5035,58018108,B11,1085.02084282,58017540,1.263,314703,115,CN, ,Canadian National Railway,3561.46121816385,20,115
5035,5801755405926,17a,4302481,1.514,5035,58017554,B11,88.46690972,58017504,1.569,315510,115,NS, ,Norfolk Southern Railway,290.384141965947,21,115
5035,5801754007521,17a,4302482,1.263,5035,58017540,B11,34.26990854,58017495,1.284,314441,115,CN, ,Canadian National Railway,112.488052717673,22,115
5010,5801756511881,17a,4302478,1.5,5010,58017565,B11,103.88344264,58017463,1.564,314901,115,AA, ,Ann Arbor Railroad,340.990874799206,23,115
5035,5801749507409,17a,4302482,1.284,5035,58017495,B11,564.49876798,58017281,1.635,315505,115,CN, ,Canadian National Railway,1852.92746485357,24,115
5035,5801750405931,17a,4302481,1.569,5035,58017504,B11,601.81041773,58017273,1.942,315509,115,NS, ,Norfolk Southern Railway,1975.40054322163,25,115
5010,5801752606894,17a,4302479,1.351,5010,58017526,B11,627.9251483,58017241,1.741,315833,115,CSX, ,CSX Transportation,2061.1232576808,26,115
5010,5801746311846,17a,4302478,1.564,5010,58017463,B11,809.04992735,58017181,2.067,314785,115,AA, ,Ann Arbor Railroad,2655.65336347972,27,115
5035,5801727305852,17a,4302481,1.942,5035,58017273,B11,369.19302123,58017156,2.172,314770,115,NS, ,Norfolk Southern Railway,1211.84784652455,28,115
5035,5801728105855,17a,4302482,1.635,5035,58017281,B11,389.61106604,58017154,1.877,315497,115,CN, ,Canadian National Railway,1278.86850167255,29,115
5035,5801724106839,17a,4302479,1.741,5035,58017241,B11,693.07523604,58016979,2.172,315275,115,CSX, ,CSX Transportation,2274.96967926619,30,115
5035,5801715405908,17a,4302482,1.877,5035,58017154,B11,598.65218196,58016907,2.249,314648,115,CN, ,Canadian National Railway,1965.02649998645,31,115
5035,5801715605821,17a,4302481,2.172,5035,58017156,B11,625.52151108,58016897,2.561,314758,115,NS, ,Norfolk Southern Railway,2053.22310025872,32,115
5010,5801718111151,17a,4302478,2.067,5010,58017181,B11,890.99502268,58016778,2.621,314041,115,AA, ,Ann Arbor Railroad,2924.6257168858,33,115
5035,5801689705289,17a,4302481,2.561,5035,58016897,B11,322.4670569,58016761,2.761,316018,115,NS, ,Norfolk Southern Railway,1058.47021191588,34,115
5035,5801690706486,17a,4302482,2.249,5035,58016907,B11,347.17639417,58016759,2.464,316023,115,CN, ,Canadian National Railway,1139.57637018525,35,115
5010,5801677810983,17a,4302478,2.621,5010,58016778,B11,161.12778699,58016719,2.721,316726,115,AA, ,Ann Arbor Railroad,528.889629364689,36,115
5035,5801697906867,17a,4302479,2.172,5035,58016979,B11,762.40239037,58016659,2.645,315121,115,CSX, ,CSX Transportation,2502.52454405151,37,115
5035,5801675906420,17a,4302482,2.464,5035,58016759,B11,343.38268681,58016636,2.678,316445,115,CN, ,Canadian National Railway,1127.12239400216,38,115
5035,5801676106480,17a,4302481,2.761,5035,58016761,B11,452.01054189,58016591,3.042,316447,115,NS, ,Norfolk Southern Railway,1483.68294027426,39,115
5035,5801665906862,17a,4302479,2.645,5035,58016659,B11,443.833193,58016529,2.921,316207,115,CSX, ,CSX Transportation,1456.84381619788,40,115
5035,5801663606417,17a,4302482,2.678,5035,58016636,B11,559.40855203,58016456,3.025,316844,115,CN, ,Canadian National Railway,1836.2047521132,41,115
5035,5801659106480,17a,4302481,3.042,5035,58016591,B11,477.2318498,58016439,3.338,315938,115,NS, ,Norfolk Southern Railway,1566.46773259891,42,115
5035,5801645606362,17a,4302482,3.025,5035,58016456,B11,152.06207615,58016403,3.12,316626,115,CN, ,Canadian National Railway,499.128663994402,43,115
5035,5801640306327,17a,4302482,3.12,5035,58016403,B11,7.60918601,58016399,3.125,316902,115,CN, ,Canadian National Railway,24.9765364951516,44,115
5035,5801643906500,17a,4302481,3.338,5035,58016439,B11,169.70589322,58016387,3.444,316064,115,NS, ,Norfolk Southern Railway,557.042485181478,45,115
5035,5801638706757,17a,4302481,3.444,5035,58016387,B11,8.80579832,58016383,3.449,315880,115,NS, ,Norfolk Southern Railway,28.9040551214738,46,115
5035,5801639906538,17a,4302482,3.125,5035,58016399,B11,64.88383482,58016283,3.165,316696,115,CN, ,Canadian National Railway,212.974524394883,47,115
5035,5801652906913,17a,4302479,2.921,5035,58016529,B11,886.98872754,58016215,3.472,316139,115,CSX, ,CSX Transportation,2911.45705027886,48,115
5010,5801671911133,17a,4302478,2.721,5010,58016719,B11,1523.73972505,58016182,3.668,316507,115,AA, ,Ann Arbor Railroad,5001.54389766055,49,115
5035,5801628305544,17a,4302710,0,5035,58016283,B12,617.25957103,58016189,0.384,316559,115,CN, ,Canadian National Railway,2026.08982032621,50,115
5035,5801621506878,17a,4302479,3.472,5035,58016215,B11,96.68051401,58016172,3.533,316188,115,CSX, ,CSX Transportation,317.343851700663,51,115
5010,5801618211133,17a,4302478,3.668,5010,58016182,B11,51.09548738,58016138,3.699,316321,115,AA, ,Ann Arbor Railroad,167.716166204684,52,115
5035,5801618905205,17a,4302710,0.384,5035,58016189,B12,789.20681552,58016114,0.874,316243,115,CN, ,Canadian National Railway,2590.47943003572,53,115
5035,5801611400570,17a,4302710,0.874,5035,58016114,B12,27.92275454,58016113,0.891,316181,115,CN, ,Canadian National Railway,91.6532540211326,54,115
5035,5801628306453,17a,4302482,3.165,5035,58016283,B11,760.95620709,58016110,3.638,316560,115,CN, ,Canadian National Railway,2497.75827447441,55,115
5035,5801611300611,17a,4302710,0.891,5035,58016113,B12,184.36109368,58016095,1.006,316179,115,CN, ,Canadian National Railway,605.143763806563,56,115
5035,5801617206927,17a,4302479,3.533,5035,58016172,B11,211.4413413,58016087,3.664,316825,115,CSX, ,CSX Transportation,694.034910151547,57,115
5035,5801608706897,17a,4302479,3.664,5035,58016087,B11,678.88062946,58015907,4.086,315984,115,CSX, ,CSX Transportation,2228.35348463799,58,115
5035,5801609504238,17a,4302710,1.006,5035,58016095,B12,1155.04431513,83031852,1.724,321967,115,CN, ,Canadian National Railway,3791.29282334112,59,115
5035,5801638306446,17a,4302481,3.449,5035,58016383,B11,1645.1897761,58015849,4.472,316969,115,NS, ,Norfolk Southern Railway,5400.15426263385,60,115
5035,5801611006500,17a,4302482,3.638,5035,58016110,B11,864.94530333,58015846,4.175,316238,115,CN, ,Canadian National Railway,2839.0838433479,61,115
5035,8303185201553,17a,4302710,1.724,5035,83031852,B12,298.3025913,83031853,1.909,321968,115,CN, ,Canadian National Railway,979.139570212281,62,115
5010,5801613811137,17a,4302478,3.699,5010,58016138,B11,1155.122773,58015788,4.417,316758,115,AA, ,Ann Arbor Railroad,3791.57553990097,63,115
5035,5801584606465,17a,4302482,4.175,5035,58015846,B11,402.74342467,58015726,4.425,316750,115,CN, ,Canadian National Railway,1321.95615857465,64,115
5035,5801584906424,17a,4302481,4.472,5035,58015849,B11,426.00364489,58015714,4.736,316875,115,NS, ,Norfolk Southern Railway,1398.30508637383,65,115
5070,8303185303311,17a,4302710,1.909,5070,83031853,B12,665.83262383,83031854,2.323,321969,115,CN, ,Canadian National Railway,2185.50870188999,66,115
5035,5801590706919,17a,4302479,4.086,5035,58015907,B11,793.69307861,58015632,4.579,316532,115,CSX, ,CSX Transportation,2605.20644992754,67,115
5010,5801578811111,17a,4302478,4.417,5010,58015788,B11,477.08709693,58015637,4.713,316946,115,AA, ,Ann Arbor Railroad,1565.98733154697,68,115
5010,5801563711203,17a,4302478,4.713,5010,58015637,B11,15.95796021,58015629,4.723,316743,115,AA, ,Ann Arbor Railroad,52.3802523594798,69,115
5035,5801563206957,17a,4302479,4.579,5035,58015632,B11,83.12774151,58015603,4.631,316105,115,CSX, ,CSX Transportation,272.856905881063,70,115
5035,5801571406489,17a,4302481,4.736,5035,58015714,B11,482.3827326,58015567,5.036,316665,115,NS, ,Norfolk Southern Railway,1583.36017028138,71,115
5035,5801572606442,17a,4302482,4.425,5035,58015726,B11,506.47421451,58015565,4.74,316935,115,CN, ,Canadian National Railway,1662.43733967115,72,115
5035,5801556506465,17a,4302482,4.74,5035,58015565,B11,707.81309799,58015365,5.18,316283,115,CN, ,Canadian National Railway,2323.30221328904,73,115
5035,5801556706441,17a,4302481,5.036,5035,58015567,B11,710.00257353,58015369,5.477,316365,115,NS, ,Norfolk Southern Railway,2330.48877457762,74,115
5035,5801536906466,17a,4302481,5.477,5035,58015369,B11,194.79677548,58015316,5.598,317467,115,NS, ,Norfolk Southern Railway,639.393612606802,75,115
5035,5801536506488,17a,4302482,5.18,5035,58015365,B11,195.15837085,58015313,5.301,317466,115,CN, ,Canadian National Railway,640.580375000389,76,115
5035,5801531306440,17a,4302482,5.301,5035,58015313,B11,220.72749961,58015231,5.438,317197,115,CN, ,Canadian National Railway,724.506963949516,77,115
5035,5801531606459,17a,4302481,5.598,5035,58015316,B11,233.92302899,58015227,5.744,317201,115,NS, ,Norfolk Southern Railway,767.819314058215,78,115
5010,5801562911181,17a,4302478,4.723,5010,58015629,B11,1683.63081959,58015072,5.77,316594,115,AA, ,Ann Arbor Railroad,5526.32037408193,79,115
5035,5801522706502,17a,4302481,5.744,5035,58015227,B11,686.0461087,58014990,6.17,318019,115,NS, ,Norfolk Southern Railway,2251.84635526222,80,115
5035,5801523106443,17a,4302482,5.438,5035,58015231,B11,701.48877822,58014987,5.874,317125,115,CN, ,Canadian National Railway,2302.53467988261,81,115
5035,5801560306888,17a,4302479,4.631,5035,58015603,B11,1879.5753938,58014957,5.798,316103,115,CSX, ,CSX Transportation,6169.46176242099,82,115
5035,5801498706391,17a,4302482,5.874,5035,58014987,B11,38.57735444,58014959,5.898,317870,115,CN, ,Canadian National Railway,126.624291920579,83,115
5035,5801499006534,17a,4302481,6.17,5035,58014990,B11,56.8293035,58014940,6.205,317949,115,NS, ,Norfolk Southern Railway,186.533829159928,84,115
5035,5801495906472,17a,4302482,5.898,5035,58014959,B11,736.38519717,58014751,6.356,317327,115,CN, ,Canadian National Railway,2417.07107805682,85,115
5035,5801494006451,17a,4302481,6.205,5035,58014940,B11,756.27465854,58014731,6.675,317037,115,NS, ,Norfolk Southern Railway,2482.35504973602,86,115
5010,5801507211136,17a,4302478,5.77,5010,58015072,B11,983.83438183,58014728,6.381,317678,115,AA, ,Ann Arbor Railroad,3229.3089235078,87,115
5035,5801495706901,17a,4302479,5.798,5035,58014957,B11,1087.80401822,58014639,6.474,317445,115,CSX, ,CSX Transportation,3570.55667293734,88,115
5010,5801472811139,17a,4302478,6.381,5010,58014728,B11,729.86939402,58014490,6.834,317726,115,AA, ,Ann Arbor Railroad,2395.69585010174,89,115
5035,5801475106429,17a,4302482,6.356,5035,58014751,B11,968.49583806,58014447,6.958,318073,115,CN, ,Canadian National Railway,3178.92907086835,90,115
5035,5801473106428,17a,4302481,6.675,5035,58014731,B11,1043.26706687,58014418,7.323,317656,115,NS, ,Norfolk Southern Railway,3424.35275411227,91,115
5035,5801463906885,17a,4302479,6.474,5035,58014639,B11,717.55369288,58014412,6.92,317858,115,CSX, ,CSX Transportation,2355.25733353784,92,115
5055,5801449011119,17a,4302478,6.834,5055,58014490,B11,365.97446101,58014383,7.062,317928,115,AA, ,Ann Arbor Railroad,1201.25901437041,93,115
5035,5801441806454,17a,4302481,7.323,5035,58014418,B11,130.19837366,58014384,7.404,317564,115,NS, ,Norfolk Southern Railway,427.353975841462,94,115
5035,5801444706419,17a,4302482,6.958,5035,58014447,B11,243.68712305,58014381,7.109,317924,115,CN, ,Canadian National Railway,799.861633996566,95,115
5060,5801438406479,17a,4302481,7.404,5060,58014384,B11,215.43538029,58014313,7.538,317920,115,NS, ,Norfolk Southern Railway,707.12983511611,96,115
5060,5801438106480,17a,4302482,7.109,5060,58014381,B11,282.08278445,58014288,7.284,317771,115,CN, ,Canadian National Railway,925.888071812179,97,115
5060,5801431306622,17a,4302481,7.538,5060,58014313,B11,145.87610623,58014261,7.629,317233,115,NS, ,Norfolk Southern Railway,478.812517547857,98,115
5060,5801426106424,17a,4302481,7.629,5060,58014261,B11,323.03536173,58014201,7.829,317227,115,NS, ,Norfolk Southern Railway,1060.3067636739,99,115
5060,5801428806507,17a,4302482,7.284,5060,58014288,B11,455.02604325,58014194,7.567,317230,115,CN, ,Canadian National Railway,1493.54253552045,100,115
5060,5801419406285,17a,4302482,7.567,5060,58014194,B11,21.97963469,58014181,7.581,317976,115,CN, ,Canadian National Railway,72.1442037824153,101,115
5060,5801420106469,17a,4302481,7.829,5060,58014201,B11,97.22727437,58014171,7.89,317477,115,NS, ,Norfolk Southern Railway,319.130833568894,102,115
5055,5801438311119,17a,4302478,7.062,5055,58014383,B11,770.3389102,58014176,7.54,317164,115,AA, ,Ann Arbor Railroad,2528.52375680307,103,115
5055,5801417611186,17a,4302478,7.54,5055,58014176,B11,48.79025895,58014153,7.571,317766,115,AA, ,Ann Arbor Railroad,160.146497142999,104,115
5060,5801441206901,17a,4302479,6.92,5060,58014412,B11,1210.68321644,58014087,7.673,317984,115,CSX, ,CSX Transportation,3973.864787892,105,115
5060,5801418106523,17a,4302482,7.581,5060,58014181,B11,560.12838169,58014028,7.929,317546,115,CN, ,Canadian National Railway,1838.51884479318,106,115
5060,5801417106504,17a,4302481,7.89,5060,58014171,B11,569.26987098,58014016,8.244,317355,115,NS, ,Norfolk Southern Railway,1868.52456224068,107,115
5055,5801415311119,17a,4302478,7.571,5055,58014153,B11,503.88635854,58014006,7.884,317218,115,AA, ,Ann Arbor Railroad,1653.92954747326,108,115
5055,5801400611111,17a,4302478,7.884,5055,58014006,B11,163.41379987,58013960,7.985,317408,115,AA, ,Ann Arbor Railroad,536.380075533161,109,115
5060,5801408706905,17a,4302479,7.673,5060,58014087,B11,479.75499462,58013930,7.971,317471,115,CSX, ,CSX Transportation,1574.71106353921,110,115
5115,4600960604577,17a,4302477,0,5115,46009606,B11,1061.10366858,58013816,0.659,317756,115,IO, ,Indiana & Ohio Railroad,3482.9335815527,111,115
5060,5801402806501,17a,4302482,7.929,5060,58014028,B11,862.79412755,58013821,8.465,317135,115,CN, ,Canadian National Railway,2831.95762223937,112,115
5060,5801401606391,17a,4302481,8.244,5060,58014016,B11,852.55720118,58013813,8.773,317894,115,NS, ,Norfolk Southern Railway,2798.35644592955,113,115
5060,5801382106471,17a,4302482,8.465,5060,58013821,B11,78.67101353,58013800,8.514,313461,115,CN, ,Canadian National Railway,258.221978245966,114,115
5115,5801381604460,17a,4302477,0.659,5115,58013816,B11,140.0733147,58013788,0.746,313940,115,IO, ,Indiana & Ohio Railroad,459.771512307883,115,115
5060,5801381306547,17a,4302481,8.773,5060,58013813,B11,78.02383099,58013791,8.822,313459,115,NS, ,Norfolk Southern Railway,256.09771499554,116,115
5060,5801393007009,17a,4302479,7.971,5060,58013930,B11,758.92201148,58020922,8.442,313207,115,CSX, ,CSX Transportation,2491.02245931845,117,115
5115,5801378804627,17a,4302477,0.746,5115,58013788,B11,232.05674417,58013738,0.891,313081,115,IO, ,Indiana & Ohio Railroad,761.694581145199,118,115
5115,5801373804579,17a,4302477,0.891,5115,58013738,B11,335.8925517,58013691,1.099,313853,115,IO, ,Indiana & Ohio Railroad,1102.52041361745,119,115
5115,5801369104529,17a,4302477,1.099,5115,58013691,B11,239.70349781,58013656,1.248,313533,115,IO, ,Indiana & Ohio Railroad,786.792662568748,120,115
5060,5801379106471,17a,4302481,8.822,5060,58013791,B11,718.75265218,58021621,9.268,312951,115,NS, ,Norfolk Southern Railway,2359.16180963341,121,115
5055,5801396011125,17a,4302478,7.985,5055,58013960,B11,1466.8166209,58013602,8.897,317824,115,AA, ,Ann Arbor Railroad,4814.58497568605,122,115
5060,5802162105394,17a,4302483,0,5060,58021621,B11,112.53322221,58021619,0.07,313924,115,NS, ,Norfolk Southern Railway,369.367380379074,123,115
5115,5801365604542,17a,4302477,1.248,5115,58013656,B11,302.0296056,58013574,1.436,313079,115,IO, ,Indiana & Ohio Railroad,991.370309170878,124,115
5055,5801360211118,17a,4302478,8.897,5055,58013602,B11,70.05418323,58013578,8.94,313647,115,AA, ,Ann Arbor Railroad,229.94075047896,125,115
5060,5802092206023,17a,4302479,8.442,5060,58020922,B11,905.6378519,58013540,9.005,313013,115,CSX, ,CSX Transportation,2972.58236126646,126,115
5060,5801380006510,17a,4302482,8.514,5060,58013800,B11,1043.6989618,58013527,9.162,313398,115,CN, ,Canadian National Railway,3425.73120271337,127,115
5060,5801354005998,17a,4302479,9.005,5060,58013540,B11,27.58889465,58013529,9.022,313641,115,CSX, ,CSX Transportation,90.5550617345268,128,115
5060,5802161906362,17a,4302483,0.07,5060,58021619,B11,224.74991517,58013517,0.21,313848,115,NS, ,Norfolk Southern Railway,737.695226126946,129,115
5060,5802162106492,17a,4302481,9.268,5060,58021621,B11,339.26029169,58013505,9.479,313925,115,NS, ,Norfolk Southern Railway,1113.55232147489,130,115
5060,5801352905979,17a,4302479,9.022,5060,58013529,B11,278.9616622,58013427,9.195,313249,115,CSX, ,CSX Transportation,915.636175251954,131,115
5060,5801352706568,17a,4302482,9.162,5060,58013527,B11,338.17990615,58021061,9.372,313578,115,CN, ,Canadian National Railway,1110.00492301707,132,115
5060,5801351706444,17a,4302483,0.21,5060,58013517,B11,345.86167386,58021062,0.425,313303,115,NS, ,Norfolk Southern Railway,1135.21839587366,133,115
5060,5802106105708,17a,4302482,9.372,5060,58021061,B11,27.2145068,58013405,9.389,312924,115,CN, ,Canadian National Railway,89.3257079095718,134,115
5060,5802106205844,17a,4302483,0.425,5060,58021062,B11,24.97511296,58013400,0.44,313710,115,NS, ,Norfolk Southern Railway,81.9754472292194,135,115
5060,5801340505697,17a,4302482,9.389,5060,58013405,B11,25.01531764,58013399,9.405,313708,115,CN, ,Canadian National Railway,82.1074449611802,136,115
5060,5801340005586,17a,4302483,0.44,5060,58013400,B11,26.61548104,58013392,0.457,313515,115,NS, ,Norfolk Southern Railway,87.3597826811354,137,115
5060,5801350506501,17a,4302481,9.479,5060,58013505,B11,370.56596348,58021059,9.709,313117,115,NS, ,Norfolk Southern Railway,1216.30496729502,138,115
5060,5802105906607,17a,4302481,9.709,5060,58021059,B11,20.54591498,58013390,9.722,313112,115,NS, ,Norfolk Southern Railway,67.4377346139333,139,115
5060,5801339006565,17a,4302481,9.722,5060,58013390,B11,32.61653515,58013380,9.743,313913,115,NS, ,Norfolk Southern Railway,107.056762205568,140,115
5055,5801357811141,17a,4302478,8.94,5055,58013578,B11,616.04837916,58013378,9.323,313781,115,AA, ,Ann Arbor Railroad,2022.07181394091,141,115
5060,5801342706069,17a,4302479,9.195,5060,58013427,B11,256.31427669,58013369,9.355,313182,115,CSX, ,CSX Transportation,841.300215393985,142,115
5060,5801336906045,17a,4302479,9.355,5060,58013369,B11,247.77871098,58013322,9.509,313635,115,CSX, ,CSX Transportation,813.282892674978,143,115
5115,5801357404597,17a,4302477,1.436,5115,58013574,B11,1651.30187453,58013219,2.462,313195,115,IO, ,Indiana & Ohio Railroad,5420.15624301995,144,115
5055,5801337811146,17a,4302478,9.323,5055,58013378,B11,630.55891913,58013228,9.715,313446,115,AA, ,Ann Arbor Railroad,2069.69662561606,145,115
5060,5801332206028,17a,4302479,9.509,5060,58013322,B11,440.99932098,58013203,9.783,313906,115,CSX, ,CSX Transportation,1447.48866918269,146,115
5115,5801321904551,17a,4302477,2.462,5115,58013219,B11,439.58144847,58013113,2.735,313376,115,IO, ,Indiana & Ohio Railroad,1442.85809671281,147,115
5055,5801322811169,17a,4302478,9.715,5055,58013228,B11,424.79778414,58013055,9.979,313572,115,AA, ,Ann Arbor Railroad,1394.32043088063,148,115
5060,5801320306033,17a,4302479,9.783,5060,58013203,B11,519.17087522,58013034,10.105,313103,115,CSX, ,CSX Transportation,1704.06792132029,149,115
5060,5801339905764,17a,4302482,9.405,5060,58013399,B11,1410.8765986,58013021,10.282,313511,115,CN, ,Canadian National Railway,4630.8928096648,150,115
5060,5801339205782,17a,4302483,0.457,5060,58013392,B11,1401.16605862,58013015,1.327,313179,115,NS, ,Norfolk Southern Railway,4599.0198830431,151,115
5115,5801311304597,17a,4302477,2.735,5115,58013113,B11,330.56734056,58012992,2.941,313631,115,IO, ,Indiana & Ohio Railroad,1085.03508157643,152,115
5095,5801302105615,17a,4302482,10.282,5095,58013021,B11,63.14554198,58012995,10.321,312972,115,CN, ,Canadian National Railway,207.260987647941,153,115
5095,5801301505765,17a,4302483,1.327,5095,58013015,B11,61.91718987,58012987,1.366,313883,115,NS, ,Norfolk Southern Railway,203.22906693541,154,115
5060,5801303405012,17a,4302479,10.105,5060,58013034,B11,128.69898346,58012975,10.185,313969,115,CSX, ,CSX Transportation,422.426551262852,155,115
5060,5801338006505,17a,4302481,9.743,5060,58013380,B11,1371.80336061,58012967,10.595,313509,115,NS, ,Norfolk Southern Railway,4502.64301370441,156,115
5095,5801296705957,17a,4302481,10.595,5095,58012967,B11,53.80044472,58012940,10.628,313430,115,NS, ,Norfolk Southern Railway,176.587934706409,157,115
5055,5801305511131,17a,4302478,9.979,5055,58013055,B11,360.49761898,58012917,10.203,313366,115,AA, ,Ann Arbor Railroad,1183.26599815918,158,115
5060,5801297504973,17a,4302479,10.185,5060,58012975,B11,410.47001726,58012874,10.44,313750,115,CSX, ,CSX Transportation,1347.27763243392,159,115
5060,5801287404753,17a,4302479,10.44,5060,58012874,B11,85.99582228,58012856,10.494,313160,115,CSX, ,CSX Transportation,282.262262962355,160,115
5060,5801285605100,17a,4302479,10.494,5060,58012856,B11,98.79010551,58012823,10.555,313158,115,CSX, ,CSX Transportation,324.256512552534,161,115
5095,5801298705781,17a,4302483,1.366,5095,58012987,B11,620.72989194,58012804,1.751,313163,115,NS, ,Norfolk Southern Railway,2037.40261593439,162,115
5095,5801294005858,17a,4302481,10.628,5095,58012940,B11,481.04362293,58012814,10.927,313616,115,NS, ,Norfolk Southern Railway,1578.91478856844,163,115
5095,5801299505917,17a,4302482,10.321,5095,58012995,B11,635.43418043,58012805,10.716,313286,115,CN, ,Canadian National Railway,2085.66620115319,164,115
5115,5801299204547,17a,4302477,2.941,5115,58012992,B11,843.93383781,58012783,3.465,313172,115,IO, ,Indiana & Ohio Railroad,2770.07562655606,165,115
5095,5801281405937,17a,4302481,10.927,5095,58012814,B11,449.66474555,58012690,11.207,313552,115,NS, ,Norfolk Southern Railway,1475.91865929133,166,115
5095,5801280505879,17a,4302482,10.716,5095,58012805,B11,622.25454343,58012621,11.102,313348,115,CN, ,Canadian National Railway,2042.4026704166,167,115
5095,5801280405947,17a,4302483,1.751,5095,58012804,B11,642.38751774,58012616,2.151,313424,115,NS, ,Norfolk Southern Railway,2108.48466080081,168,115
5055,5801291711131,17a,4302478,10.203,5055,58012917,B11,938.48814038,58012576,10.786,313557,115,AA, ,Ann Arbor Railroad,3080.40595185758,169,115
5060,5801282304928,17a,4302479,10.555,5060,58012823,B11,899.46573748,58012579,11.114,313824,115,CSX, ,CSX Transportation,2952.29128568855,170,115
5115,5801278304572,17a,4302477,3.465,5115,58012783,B11,890.22370559,58012652,4.018,313047,115,IO, ,Indiana & Ohio Railroad,2922.00863764298,171,115
5115,5801265204481,17a,4302477,4.018,5115,58012652,B11,235.77123684,58012450,4.165,313277,115,IO, ,Indiana & Ohio Railroad,773.878067456913,172,115
5095,5801262105915,17a,4302482,11.102,5095,58012621,B11,386.8062776,58012452,11.343,313666,115,CN, ,Canadian National Railway,1269.59763372485,173,115
5095,5801261605985,17a,4302483,2.151,5095,58012616,B11,376.14123989,58012446,2.384,313336,115,NS, ,Norfolk Southern Railway,1234.59211756405,174,115
5095,5801244605957,17a,4302483,2.384,5095,58012446,B11,42.3142737,58012432,2.411,312952,115,NS, ,Norfolk Southern Railway,138.886287040897,175,115
5095,5801269005832,17a,4302481,11.207,5095,58012690,B11,629.34681935,58012417,11.598,313149,115,NS, ,Norfolk Southern Railway,2065.67890468238,176,115
5115,5801245004560,17a,4302477,4.165,5115,58012450,B11,102.42139737,58012428,4.228,313544,115,IO, ,Indiana & Ohio Railroad,336.180056125395,177,115
5095,5801245205894,17a,4302482,11.343,5095,58012452,B11,74.09298867,58012424,11.389,313019,115,CN, ,Canadian National Railway,243.192018891546,178,115
5055,5801257611121,17a,4302478,10.786,5055,58012576,B11,398.00529216,58012411,11.033,313874,115,AA, ,Ann Arbor Railroad,1306.3731450194,179,115
5095,5801241705773,17a,4302481,11.598,5095,58012417,B11,23.16780056,58012399,11.612,313535,115,NS, ,Norfolk Southern Railway,76.0429695782017,180,115
